row_id,GAME_ID,MATCHUP,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,SHOT_RESULT,CLOSEST_DEFENDER,CLOSEST_DEFENDER_PLAYER_ID,CLOSE_DEF_DIST,FGM,PTS,player_name,player_id,made_avg,missed_avg,GAME_ID1,MATCHUP1,LOCATION1,W1,FINAL_MARGIN1,SHOT_NUMBER1,PERIOD1,GAME_CLOCK1,SHOT_CLOCK1,DRIBBLES1,TOUCH_TIME1,SHOT_DIST1,PTS_TYPE1,SHOT_RESULT1,CLOSEST_DEFENDER1,CLOSEST_DEFENDER_PLAYER_ID1,CLOSE_DEF_DIST1,FGM1,PTS1,player_name1,player_id1,made_avg1,missed_avg1,GAME_ID2,MATCHUP2,LOCATION2,W2,FINAL_MARGIN2,SHOT_NUMBER2,PERIOD2,GAME_CLOCK2,SHOT_CLOCK2,DRIBBLES2,TOUCH_TIME2,SHOT_DIST2,PTS_TYPE2,SHOT_RESULT2,CLOSEST_DEFENDER2,CLOSEST_DEFENDER_PLAYER_ID2,CLOSE_DEF_DIST2,FGM2,PTS2,player_name2,player_id2,made_avg2,missed_avg2
8595,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,4,1,395,11,2,6.7,4.6,2,1,"Haslem, Udonis",2617,1.8,1,2,carlos boozer,2430,0.50887574,0.465753425,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,2,1,463,8.6,2,5.7,10.5,2,0,"Haslem, Udonis",2617,3.3,0,0,carlos boozer,2430,0.50887574,0.465753425,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,1,1,528,13.5,0,1.2,17.9,2,1,"Haslem, Udonis",2617,3.2,1,2,carlos boozer,2430,0.50887574,0.465753425
8596,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,5,1,213,20,0,0.8,3.3,2,1,"Whiteside, Hassan",202355,7.5,1,2,carlos boozer,2430,0.50887574,0.580808081,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,4,1,395,11,2,6.7,4.6,2,1,"Haslem, Udonis",2617,1.8,1,2,carlos boozer,2430,0.50887574,0.465753425,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,2,1,463,8.6,2,5.7,10.5,2,0,"Haslem, Udonis",2617,3.3,0,0,carlos boozer,2430,0.50887574,0.465753425
8597,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,6,2,201,5,0,0.8,6.1,2,0,"Whiteside, Hassan",202355,4.1,0,0,carlos boozer,2430,0.50887574,0.580808081,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,5,1,213,20,0,0.8,3.3,2,1,"Whiteside, Hassan",202355,7.5,1,2,carlos boozer,2430,0.50887574,0.580808081,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,4,1,395,11,2,6.7,4.6,2,1,"Haslem, Udonis",2617,1.8,1,2,carlos boozer,2430,0.50887574,0.465753425
8598,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,7,2,111,9,0,1.2,14.5,2,1,"Beasley, Michael",201563,4.4,1,2,carlos boozer,2430,0.50887574,0.5,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,6,2,201,5,0,0.8,6.1,2,0,"Whiteside, Hassan",202355,4.1,0,0,carlos boozer,2430,0.50887574,0.580808081,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,5,1,213,20,0,0.8,3.3,2,1,"Whiteside, Hassan",202355,7.5,1,2,carlos boozer,2430,0.50887574,0.580808081
8599,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,8,2,74,8.8,1,1.9,3,2,1,"Andersen, Chris",2365,3.4,1,2,carlos boozer,2430,0.50887574,0.465,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,7,2,111,9,0,1.2,14.5,2,1,"Beasley, Michael",201563,4.4,1,2,carlos boozer,2430,0.50887574,0.5,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,6,2,201,5,0,0.8,6.1,2,0,"Whiteside, Hassan",202355,4.1,0,0,carlos boozer,2430,0.50887574,0.580808081
8600,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,10,3,698,2.3,5,3.6,14.5,2,0,"Haslem, Udonis",2617,4,0,0,carlos boozer,2430,0.50887574,0.465753425,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,8,2,74,8.8,1,1.9,3,2,1,"Andersen, Chris",2365,3.4,1,2,carlos boozer,2430,0.50887574,0.465,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,7,2,111,9,0,1.2,14.5,2,1,"Beasley, Michael",201563,4.4,1,2,carlos boozer,2430,0.50887574,0.5
8601,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,11,3,538,11.1,1,1.7,4.9,2,0,"Whiteside, Hassan",202355,2.1,0,0,carlos boozer,2430,0.50887574,0.580808081,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,10,3,698,2.3,5,3.6,14.5,2,0,"Haslem, Udonis",2617,4,0,0,carlos boozer,2430,0.50887574,0.465753425,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,8,2,74,8.8,1,1.9,3,2,1,"Andersen, Chris",2365,3.4,1,2,carlos boozer,2430,0.50887574,0.465
8602,21400020,"OCT 30, 2014 - LAC vs. OKC",1,1,3,2,1,534,7.3,0,0.9,24.2,3,1,"Jones, Perry",203103,9.1,1,3,matt barnes,2440,0.447368421,0.463768116,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,11,3,538,11.1,1,1.7,4.9,2,0,"Whiteside, Hassan",202355,2.1,0,0,carlos boozer,2430,0.50887574,0.580808081,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,10,3,698,2.3,5,3.6,14.5,2,0,"Haslem, Udonis",2617,4,0,0,carlos boozer,2430,0.50887574,0.465753425
8603,21400020,"OCT 30, 2014 - LAC vs. OKC",1,1,3,3,1,277,19.9,2,1.9,3.2,2,1,"Jones, Perry",203103,3.3,1,2,matt barnes,2440,0.447368421,0.463768116,21400020,"OCT 30, 2014 - LAC vs. OKC",1,1,3,2,1,534,7.3,0,0.9,24.2,3,1,"Jones, Perry",203103,9.1,1,3,matt barnes,2440,0.447368421,0.463768116,21400905,"MAR 04, 2015 - LAL @ MIA",-1,-1,-6,11,3,538,11.1,1,1.7,4.9,2,0,"Whiteside, Hassan",202355,2.1,0,0,carlos boozer,2430,0.50887574,0.580808081
8604,21400020,"OCT 30, 2014 - LAC vs. OKC",1,1,3,5,2,351,14.1,0,0.8,25.3,3,0,"Jones, Perry",203103,6.8,0,0,matt barnes,2440,0.447368421,0.463768116,21400020,"OCT 30, 2014 - LAC vs. OKC",1,1,3,3,1,277,19.9,2,1.9,3.2,2,1,"Jones, Perry",203103,3.3,1,2,matt barnes,2440,0.447368421,0.463768116,21400020,"OCT 30, 2014 - LAC vs. OKC",1,1,3,2,1,534,7.3,0,0.9,24.2,3,1,"Jones, Perry",203103,9.1,1,3,matt barnes,2440,0.447368421,0.463768116
